OBSNO,DATE,HOUR,TERRID,n,TEMP,WIND,SEXP,PANT,INC,OFF,DATETIME,DLGT,DAYn
349,04.06.16,17,AS59,15,9.5764,3.734,30,0,15,0,04.06.16 16:35,12.85805556,156
350,04.06.16,17,AS59,15,9.484333333,3.556666667,30,0,15,0,04.06.16 16:51,13.12472222,156
351,04.06.16,17,AS60,15,9.5764,3.734,30,0,15,0,04.06.16 16:35,12.85805556,156
352,04.06.16,17,AS60,15,9.484333333,3.556666667,30,0,15,0,04.06.16 16:51,13.12472222,156
353,04.06.16,17,AS62,15,9.303,3.784666667,30,0,15,0,04.06.16 17:18,13.57472222,156
354,04.06.16,18,AS62,15,9.385533333,3.506,30,0,15,0,04.06.16 17:33,13.82472222,156
355,07.06.16,17,AS62,15,9.5862,1.874666667,0,0,15,0,07.06.16 17:12,13.54944444,159
356,08.06.16,15,AS62,15,8.346,2.560666667,0,0,15,0,08.06.16 14:58,11.33805556,160
357,08.06.16,15,AS62,15,8.2896,2.867333333,0,0,15,0,08.06.16 15:13,11.58805556,160
358,08.06.16,15,AS62,15,8.281333333,2.508666667,0,0,14,1,08.06.16 15:28,11.83805556,160
359,14.06.16,16,AS62,15,12.34793333,3.81,21,0,15,0,14.06.16 15:45,12.21555556,166
360,14.06.16,16,AS62,15,12.6266,3.657333333,23,0,15,0,14.06.16 16:00,12.46555556,166
361,14.06.16,16,AS62,15,12.09486667,3.733333333,26,0,11,4,14.06.16 16:15,12.71555556,166
362,04.06.16,17,AS63,15,9.303,3.784666667,30,0,15,0,04.06.16 17:18,13.57472222,156
363,04.06.16,18,AS63,15,9.385533333,3.506,30,0,12,3,04.06.16 17:33,13.82472222,156
364,07.06.16,17,AS63,15,9.5862,1.874666667,0,0,15,0,07.06.16 17:12,13.54944444,159
