OBSNO,DATE,HOUR,TERRID,n,TEMP,WIND,SEXP,PANT,INC,OFF,DATETIME,DLGT,DAYn
153,04.06.16,10,AS60,15,8.369066667,3.252,30,0,15,0,04.06.16 09:45,6.024722222,156
154,04.06.16,10,AS60,15,8.4324,3.047333333,30,0,15,0,04.06.16 10:00,6.274722222,156
155,05.06.16,11,AS60,15,10.34486667,2.407333333,0,0,15,0,05.06.16 10:39,6.951111111,157
156,05.06.16,11,AS60,15,10.32513333,2.432666667,0,0,15,0,05.06.16 10:54,7.201111111,157
157,09.06.16,11,AS60,15,8.927266667,0.456,0,0,13,2,09.06.16 10:45,7.141388889,161
158,09.06.16,11,AS60,15,8.7106,0.836,0,0,15,0,09.06.16 11:00,7.391388889,161
159,09.06.16,11,AS60,15,9.077,1.876666667,0,0,13,2,09.06.16 11:15,7.641388889,161
160,27.06.16,12,AS61,15,12.0802,1.52,0,0,13,2,27.06.16 11:41,8.110833333,179
161,04.06.16,11,AS62,15,8.948733333,3.632666667,30,0,14,1,04.06.16 11:03,7.324722222,156
162,04.06.16,11,AS62,15,9.041266667,3.506,30,0,15,0,04.06.16 11:18,7.574722222,156
163,05.06.16,10,AS62,15,10.09313333,2.482666667,0,0,14,1,05.06.16 10:24,6.701111111,157
164,04.06.16,11,AS63,15,8.948733333,3.632666667,30,0,15,0,04.06.16 11:03,7.324722222,156
165,04.06.16,11,AS63,15,9.041266667,3.506,30,0,14,1,04.06.16 11:18,7.574722222,156
166,05.06.16,10,AS63,15,10.09313333,2.482666667,0,0,15,0,05.06.16 10:24,6.701111111,157
167,27.06.16,12,AS63,15,12.0802,1.52,0,0,9,6,27.06.16 11:41,8.110833333,179
168,05.06.16,9,AS64,15,10.4508,2.102666667,15,0,15,0,05.06.16 09:14,5.534444444,157
169,05.06.16,12,AS64,15,9.770333333,2.534,0,0,15,0,05.06.16 11:39,7.951111111,157
171,08.06.16,10,AS67,15,7.825,2.995333333,0,0,15,0,08.06.16 09:59,6.354722222,160
